fighter_name,Height,Weight,Reach,Stance,DOB
Jose Aldo,"5' 7""",145 lbs.,"70""",Orthodox,"Sep 09, 1986"
Jose Barreto,NA,185 lbs.,NA,Southpaw,NA
Jose Canseco,"6' 4""",240 lbs.,NA,Orthodox,"Jul 02, 1964"
Jose Landi-Jons,"5' 11""",170 lbs.,NA,Orthodox,"Sep 09, 1973"
Jose Maria,"5' 5""",125 lbs.,NA,Orthodox,"Jan 04, 1982"
Jose Palacios,"5' 9""",145 lbs.,NA,Orthodox,NA
Jose Perez,NA,NA,NA,NA,NA
Jose Quinonez,"5' 8""",135 lbs.,"69""",NA,"Jul 28, 1990"
Jose Santibanez,NA,155 lbs.,NA,NA,"Jan 18, 1980"
Jose Torres,"5' 4""",125 lbs.,"65""",Orthodox,"Aug 02, 1992"
Joseph Benavidez,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984"
Joseph Morales,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994"
Joseph Sandoval,"5' 7""",135 lbs.,NA,Southpaw,"May 11, 1986"
Joseph Solecki,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 27, 1993"
Josh Appelt,"5' 10""",255 lbs.,"73""",Southpaw,"Jun 19, 1983"
Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977"
Josh Bennett,"6' 4""",259 lbs.,NA,Orthodox,NA
Josh Bryant,"5' 10""",185 lbs.,NA,Orthodox,"Apr 23, 1980"
Josh Bumgarner,"6' 1""",170 lbs.,NA,NA,NA
Josh Burns,"6' 1""",244 lbs.,NA,NA,"May 15, 1978"
Josh Clopton,"5' 6""",145 lbs.,"68""",Orthodox,"Jul 11, 1981"
Josh Copeland,"6' 1""",265 lbs.,"75""",Orthodox,"Oct 20, 1982"
Josh Diekmann,"5' 4""",246 lbs.,NA,NA,"Oct 09, 1976"
Josh Emmett,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985"
Josh Epps,NA,130 lbs.,NA,NA,"Aug 23, 1986"
Josh Ferguson,"5' 5""",125 lbs.,"66""",Orthodox,"May 13, 1988"
Josh Grispi,"5' 11""",145 lbs.,"74""",Orthodox,"Oct 14, 1988"
Josh Haynes,"5' 9""",170 lbs.,NA,Orthodox,"Jul 30, 1977"
Josh Hendricks,"6' 2""",235 lbs.,NA,Southpaw,"Aug 28, 1976"
Josh Janousek,"5' 11""",185 lbs.,"73""",Orthodox,"Sep 25, 1980"
Josh Jarvis,NA,NA,NA,NA,NA
Josh Koscheck,"5' 10""",170 lbs.,"73""",Orthodox,"Nov 30, 1977"
Josh LaBerge,"5' 10""",145 lbs.,NA,NA,NA
Josh McDonald,NA,185 lbs.,NA,NA,NA
Josh Neal,"6' 0""",185 lbs.,NA,NA,NA
Josh Neer,"5' 11""",170 lbs.,"72""",Orthodox,"Mar 24, 1983"
Josh Paiva,"5' 6""",125 lbs.,NA,NA,"Apr 05, 1991"
Josh Parisian,"6' 4""",265 lbs.,NA,Orthodox,"Jun 28, 1989"
Josh Pulsifer,"5' 10""",145 lbs.,NA,NA,"Mar 16, 1983"
Josh Rafferty,"6' 0""",170 lbs.,NA,Orthodox,"Jan 06, 1981"
Josh Samman,"6' 3""",185 lbs.,"79""",Orthodox,"Mar 14, 1988"
Josh San Diego,"5' 10""",135 lbs.,NA,NA,NA
Josh Shockley,"6' 1""",155 lbs.,"74""",Orthodox,"Nov 15, 1989"
Josh Shockman,"6' 4""",235 lbs.,NA,Southpaw,"Dec 29, 1980"
Josh Smith,"6' 0""",155 lbs.,NA,Orthodox,"Jul 02, 1982"
Josh Stansbury,"6' 2""",205 lbs.,"74""",NA,"Nov 19, 1984"
Josh Stuart,"5' 9""",160 lbs.,NA,NA,NA
Josh Thomson,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 21, 1978"
Josh Thornburg,"6' 0""",170 lbs.,NA,NA,"May 24, 1984"
Joshua Burkman,"5' 10""",170 lbs.,"72""",Orthodox,"Apr 10, 1980"
Joshua Sampo,"5' 4""",125 lbs.,"64""",Orthodox,"Jul 24, 1984"
Journey Newson,NA,135 lbs.,NA,NA,"Mar 07, 1989"
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992"
Juan Alcain,NA,NA,NA,NA,NA
Juan Espino,"6' 4""",250 lbs.,"82""",NA,"Oct 09, 1980"
Juan Miranda,NA,155 lbs.,NA,NA,NA
Juan Mott,"6' 0""",190 lbs.,NA,Switch,NA
Juan Puig,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 23, 1989"
Jules Bruchez,"6' 0""",205 lbs.,NA,Southpaw,"Aug 16, 1977"
Julia Avila,"5' 4""",135 lbs.,NA,NA,"May 11, 1988"
Julia Budd,"5' 7""",145 lbs.,"67""",NA,"Jul 04, 1983"
Julian Erosa,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989"
Julian Marquez,"6' 2""",185 lbs.,"75""",Orthodox,"May 08, 1990"
Julian Sanchez,"6' 3""",300 lbs.,NA,Orthodox,NA
Juliana Lima,"5' 5""",115 lbs.,"65""",Orthodox,"Mar 15, 1982"
Julianna Pena,"5' 6""",135 lbs.,"69""",NA,"Aug 19, 1989"
Julie Kedzie,"5' 5""",135 lbs.,"64""",Orthodox,"Mar 18, 1981"
Julija Stoliarenko,"5' 7""",145 lbs.,"66""",NA,"Apr 08, 1993"
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989"
Julio Cesar Neves Jr.,"5' 8""",145 lbs.,NA,NA,"Apr 25, 1994"
Julio Paulino,"6' 0""",170 lbs.,NA,Orthodox,"Dec 04, 1975"
Jumabieke Tuerxun,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 17, 1986"
Jun Yong Park,"6' 0""",170 lbs.,NA,NA,"Feb 27, 1991"
Junie Browning,"5' 9""",155 lbs.,NA,Orthodox,"May 12, 1984"
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991"
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981"
Junior Barata,"5' 10""",170 lbs.,NA,Orthodox,"Jan 25, 1982"
Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984"
Junior Hernandez,"5' 9""",135 lbs.,"69""",Orthodox,"Jul 22, 1986"
Junya Kudo,NA,135 lbs.,NA,Orthodox,NA
Jussier Formiga,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985"
Justin Bruckmann,"5' 9""",170 lbs.,NA,Orthodox,NA
Justin Buchholz,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 22, 1983"
Justin Davis,"5' 11""",205 lbs.,NA,NA,"Apr 01, 1983"
Justin DeMoney,NA,170 lbs.,NA,NA,"Jul 01, 1985"
Justin Edwards,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983"
Justin Eilers,"6' 1""",235 lbs.,NA,Orthodox,"Jun 28, 1978"
Justin Frazier,"6' 0""",265 lbs.,"75""",Southpaw,"Jun 15, 1989"
Justin Gaethje,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988"
Justin Gonzales,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 28, 1991"
Justin Governale,NA,145 lbs.,NA,NA,NA
Justin Guthrie,"6' 1""",170 lbs.,NA,NA,"Jan 19, 1981"
Justin Haskins,"5' 10""",170 lbs.,NA,Orthodox,"Aug 30, 1979"
Justin Hawes,"5' 11""",205 lbs.,NA,NA,"Jan 13, 1979"
Justin James,"5' 10""",155 lbs.,NA,Orthodox,"Nov 08, 1976"
Justin Jones,"5' 11""",185 lbs.,"78""",Orthodox,"Sep 06, 1987"
Justin Lawrence,"5' 8""",145 lbs.,"67""",Orthodox,"May 15, 1990"
Justin Ledet,"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988"
Justin Levens,"5' 11""",185 lbs.,NA,Orthodox,"Apr 18, 1980"
Justin Martin,"6' 0""",185 lbs.,NA,NA,NA
Justin McCully,"6' 1""",225 lbs.,"73""",Orthodox,"Feb 18, 1976"
Justin McElfresh,"6' 6""",205 lbs.,NA,Orthodox,"Jan 04, 1980"
Justin Patterson,"5' 10""",170 lbs.,NA,NA,"Dec 07, 1985"
Justin Pennington,"5' 4""",NA,NA,NA,NA
Justin Robbins,"5' 5""",135 lbs.,NA,NA,"Jul 29, 1980"
Justin Salas,"5' 8""",155 lbs.,"70""",Southpaw,"Mar 13, 1982"
Justin Scoggins,"5' 7""",125 lbs.,"66""",Southpaw,"May 02, 1992"
Justin Smitley,NA,145 lbs.,NA,NA,NA
Justin Sumter,"6' 2""",185 lbs.,"80""",Southpaw,"Nov 16, 1989"
Justin Wilcox,"5' 6""",155 lbs.,NA,Orthodox,"Mar 12, 1979"
Justin Willis,"6' 1""",264 lbs.,"78""",Southpaw,"Jul 19, 1987"
Justin Wren,"6' 2""",265 lbs.,NA,Orthodox,"Apr 27, 1987"
Justine Kish,"5' 5""",125 lbs.,"64""",Orthodox,"Apr 13, 1988"
Jutaro Nakao,"5' 9""",170 lbs.,NA,Southpaw,"Nov 30, 1970"
KJ Noons,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 07, 1982"
Kai Kara-France,"5' 5""",125 lbs.,"69""",Orthodox,"Mar 26, 1993"
Kailin Curran,"5' 4""",115 lbs.,"65""",Orthodox,"Apr 11, 1991"
Kain Royer,NA,185 lbs.,NA,NA,NA
Kaitlin Young,"5' 9""",135 lbs.,NA,Orthodox,"Sep 15, 1985"
Kajan Johnson,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 21, 1984"
Kaleo Kwan,"5' 7""",155 lbs.,NA,NA,"Aug 01, 1970"
Kali Robbins,"5' 3""",115 lbs.,"63""",Orthodox,"Jul 05, 1984"
Kalib Starnes,"6' 3""",185 lbs.,"74""",Orthodox,"Jan 06, 1975"
Kalindra Faria,"5' 7""",125 lbs.,NA,Switch,"Jul 23, 1986"
Kaline Medeiros,"5' 3""",115 lbs.,NA,NA,NA
Kamal Shalorus,"5' 8""",155 lbs.,"68""",Orthodox,"Aug 27, 1972"
Kamaru Usman,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987"
Kamuela Kirk,"5' 9""",145 lbs.,NA,NA,"Apr 13, 1994"
Karen Darabedyan,"5' 7""",155 lbs.,"68""",Orthodox,"Dec 18, 1986"
Karine Gevorgyan,"5' 4""",125 lbs.,"63""",NA,"Mar 09, 1989"
Karl Amoussou,"5' 11""",185 lbs.,NA,Orthodox,"Nov 21, 1985"
Karl Reed,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 27, 1988"
Karl Roberson,"6' 1""",205 lbs.,"74""",Southpaw,"Oct 04, 1990"
Karl Willis,NA,NA,NA,NA,NA
Karla Benitez,"5' 3""",113 lbs.,NA,NA,NA
Karlos Vemola,"6' 0""",185 lbs.,"75""",Orthodox,"Jul 03, 1985"
Karo Parisyan,"5' 10""",170 lbs.,"72""",Orthodox,"Aug 28, 1982"
Karol Rosa,"5' 6""",135 lbs.,NA,NA,"Dec 30, 1994"
Karolina Kowalkiewicz,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985"
Katlyn Chookagian,"5' 9""",125 lbs.,"68""",Orthodox,"Dec 28, 1988"
Katsuhiko Nagata,"5' 7""",154 lbs.,NA,Southpaw,"Oct 31, 1973"
Katsuhisa Fujii,"6' 0""",205 lbs.,NA,Orthodox,"Aug 15, 1972"
Katsunori Kikuno,"5' 8""",145 lbs.,"66""",Orthodox,"Oct 31, 1981"
Katsuya Inoue,"5' 9""",168 lbs.,NA,Southpaw,"Aug 10, 1979"
Katsuyori Shibata,"6' 0""",168 lbs.,NA,Orthodox,"Nov 17, 1979"
Kazuhiro Hamanaka,"6' 0""",185 lbs.,NA,Southpaw,"Oct 24, 1978"
Kazuhiro Nakamura,"5' 11""",205 lbs.,"70""",Orthodox,"Jul 16, 1979"
Kazuhisa Watanabe,"5' 6""",139 lbs.,NA,NA,"May 18, 1983"
Kazuki Okubo,"5' 11""",175 lbs.,NA,Orthodox,NA
Kazuki Tokudome,"5' 11""",155 lbs.,"73""",Southpaw,"Mar 04, 1987"
Kazunari Murakami,"6' 1""",220 lbs.,NA,Orthodox,"Nov 29, 1973"
Kazunori Yokota,"5' 8""",154 lbs.,NA,Orthodox,"Apr 03, 1978"
Kazuo Misaki,"5' 8""",183 lbs.,NA,Orthodox,"Apr 25, 1976"
Kazushi Sakuraba,"6' 0""",185 lbs.,NA,Southpaw,"Jul 14, 1969"
Kazuyuki Fujita,"6' 0""",235 lbs.,NA,Orthodox,"Oct 16, 1970"
Kazuyuki Miyata,"5' 8""",139 lbs.,NA,Orthodox,NA
Keenan Raymond,NA,165 lbs.,NA,NA,NA
Keigo Kunihara,"6' 0""",235 lbs.,NA,Orthodox,NA
Keiichiro Yamamiya,"5' 11""",185 lbs.,NA,Southpaw,"Jul 12, 1972"
Keisuke Fujiwara,"5' 6""",139 lbs.,NA,Switch,NA
Keita Nakamura,"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984"
Keith Berish,"6' 0""",205 lbs.,"73""",Orthodox,"Nov 14, 1985"
Keith Berry,"6' 1""",185 lbs.,NA,NA,"Oct 25, 1987"
Keith Hackney,"5' 11""",200 lbs.,NA,Sideways,NA
Keith Jardine,"6' 2""",185 lbs.,"76""",Orthodox,"Oct 31, 1975"
Keith Mielke,"5' 8""",185 lbs.,NA,NA,NA
Keith Rockel,"6' 0""",185 lbs.,NA,Orthodox,NA
Keith Wisniewski,"6' 0""",170 lbs.,"75""",Orthodox,"Oct 25, 1981"
Kelly Dullanty,"5' 8""",155 lbs.,NA,Orthodox,"Nov 04, 1977"
Kelly Faszholz,"5' 8""",135 lbs.,"67""",Orthodox,"Apr 09, 1985"
Kelly Kobold,"5' 6""",135 lbs.,NA,Orthodox,"Feb 25, 1983"
Kelly Velasco,"5' 9""",135 lbs.,NA,Orthodox,"May 21, 1995"
Kelvin Gastelum,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991"
Kemran Lachinov,NA,170 lbs.,NA,NA,NA
Ken Kaneko,"6' 0""",161 lbs.,NA,Orthodox,NA
Ken Shamrock,"6' 1""",205 lbs.,"72""",Orthodox,"Feb 11, 1964"
Ken Stone,"5' 8""",135 lbs.,"71""",NA,"Oct 08, 1982"
Kendall Grove,"6' 6""",185 lbs.,"79""",Orthodox,"Nov 12, 1982"
Kengo Ura,"5' 9""",165 lbs.,NA,NA,"Jun 20, 1981"
Kengo Watanabe,"6' 4""",220 lbs.,NA,Orthodox,"Jan 31, 1976"
Kenichi Yamamoto,"6' 0""",170 lbs.,NA,Orthodox,"Jul 11, 1976"
Kenji Arai,"5' 10""",145 lbs.,NA,Southpaw,"Oct 05, 1979"
Kenji Osawa,"5' 7""",135 lbs.,"66""",Orthodox,"Nov 04, 1976"
Kenneth Alexander,"5' 9""",155 lbs.,NA,Orthodox,"Sep 25, 1977"
Kenneth Bergh,"6' 2""",205 lbs.,"76""",Orthodox,"Jun 26, 1989"
Kenneth Seegrist,"6' 0""",185 lbs.,NA,Orthodox,NA
Kenny Florian,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976"
Kenny Giddens,"5' 11""",155 lbs.,NA,NA,NA
Kenny Robertson,"5' 10""",170 lbs.,"74""",Orthodox,"Feb 14, 1984"
Kenyon Jackson,"6' 0""",185 lbs.,NA,NA,NA
Kerry Schall,"6' 2""",265 lbs.,NA,Orthodox,"Aug 09, 1971"
Kerry Vera,"5' 7""",135 lbs.,NA,Orthodox,NA
Kestutis Smirnovas,"5' 10""",200 lbs.,NA,Orthodox,NA
Ketlen Vieira,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 26, 1991"
Kevin Aguilar,"5' 7""",145 lbs.,"73""",Orthodox,"Sep 07, 1988"
Kevin Burns,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 03, 1980"
Kevin Casey,"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981"
Kevin Engel,"6' 2""",170 lbs.,NA,NA,NA
Kevin Ferguson,"6' 2""",235 lbs.,NA,Orthodox,"Feb 08, 1974"
Kevin Gray,"5' 4""",125 lbs.,"67""",Orthodox,"May 03, 1985"
Kevin Haley,"6' 2""",205 lbs.,NA,NA,NA
Kevin Holland,"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992"
Kevin Jackson,"5' 10""",199 lbs.,NA,Switch,NA
Kevin Jordan,"6' 3""",245 lbs.,NA,Orthodox,"Dec 31, 1970"
Kevin Knabjian,"5' 10""",170 lbs.,NA,Orthodox,"Jul 05, 1984"
Kevin Lee,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992"
Kevin Randleman,"5' 10""",205 lbs.,NA,Orthodox,"Aug 10, 1971"
Kevin Roddy,"5' 11""",145 lbs.,NA,NA,NA
Kevin Rosier,"6' 4""",275 lbs.,NA,Orthodox,NA
Kevin Souza,"6' 0""",145 lbs.,"74""",Orthodox,"Oct 17, 1984"
Kevin Syler,"5' 9""",155 lbs.,NA,NA,"Jul 29, 1993"
Khabib Nurmagomedov,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988"
Khadis Ibragimov,"6' 2""",205 lbs.,NA,NA,"May 21, 1995"
Khalid Murtazaliev,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 15, 1993"
Khalid Taha,"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992"
Khalil Rountree Jr.,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990"
Khomkrit Niimi,"5' 2""",125 lbs.,NA,NA,NA
Kier Gooch,NA,155 lbs.,NA,NA,"Apr 21, 1986"
Kiichi Kunimoto,"5' 10""",170 lbs.,"71""",Orthodox,"May 01, 1981"
Kim Couture,"5' 8""",135 lbs.,NA,Orthodox,"Dec 18, 1975"
Kim In Seok,"5' 6""",145 lbs.,NA,Orthodox,NA
Kimo Leopoldo,"6' 3""",235 lbs.,NA,Orthodox,"Jan 05, 1968"
Kin Moy,"5' 5""",135 lbs.,NA,NA,NA
Kiril Sidelnikov,"5' 11""",230 lbs.,NA,NA,"Aug 17, 1988"
Kit Cope,"6' 0""",170 lbs.,NA,Orthodox,"Mar 17, 1977"
Kiyoshi Tamura,"5' 11""",185 lbs.,NA,Southpaw,"Dec 17, 1969"
Klayton Mai,"5' 9""",125 lbs.,NA,NA,"Nov 30, 1986"
Klidson Abreu,"6' 0""",235 lbs.,"74""",Orthodox,"Dec 24, 1992"
Koichiro Matsumoto,"5' 7""",145 lbs.,NA,NA,"Mar 07, 1986"
Koji Kitao,"6' 7""",350 lbs.,NA,Southpaw,"Oct 12, 1963"
Koji Oishi,"5' 8""",170 lbs.,NA,Orthodox,"May 31, 1977"
Konstantin Erokhin,"5' 11""",230 lbs.,"73""",Orthodox,"Jan 31, 1983"
Kotetsu Boku,"5' 9""",154 lbs.,NA,Orthodox,"May 27, 1977"
Kris McCray,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 24, 1981"
Krishaun Gilmore,NA,NA,NA,NA,NA
Kristian Rothaermel,"6' 0""",205 lbs.,NA,Open Stance,"Jan 31, 1972"
Kristof Midoux,"6' 1""",220 lbs.,NA,Orthodox,"Jul 30, 1974"
Kron Gracie,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988"
Krzysztof Jotko,"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989"
Krzysztof Soszynski,"6' 1""",205 lbs.,"77""",Open Stance,"Aug 02, 1977"
Kultar Gill,"6' 0""",154 lbs.,NA,Orthodox,"Mar 24, 1979"
Kuniyoshi Hironaka,"5' 10""",168 lbs.,"70""",Orthodox,"Jun 17, 1976"
Kurt Holobaugh,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 08, 1986"
Kurt Osiander,NA,185 lbs.,NA,NA,NA
Kurt Pellegrino,"5' 8""",155 lbs.,"70""",Orthodox,"May 07, 1979"
Kwan Ho Kwak,"5' 5""",135 lbs.,"70""",Switch,"Jun 18, 1989"
Kyle Bochniak,"5' 7""",145 lbs.,"70""",Orthodox,"Feb 05, 1987"
Kyle Bolt,"6' 2""",185 lbs.,NA,NA,NA
Kyle Bradley,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982"
Kyle Daukaus,"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993"
Kyle Dietz,"5' 8""",135 lbs.,NA,Orthodox,"Apr 29, 1986"
Kyle Jensen,"5' 9""",170 lbs.,NA,Orthodox,"Jul 20, 1979"
Kyle Kingsbury,"6' 4""",205 lbs.,"76""",Orthodox,"Mar 22, 1982"
Kyle Kurtz,NA,170 lbs.,NA,NA,NA
Kyle Levinton,NA,NA,NA,NA,NA
Kyle Nelson,"5' 11""",155 lbs.,"71""",Switch,"Apr 20, 1991"
Kyle Noke,"6' 1""",170 lbs.,"76""",Southpaw,"Mar 18, 1980"
Kyle Prepolec,"5' 10""",170 lbs.,"70""",Southpaw,"Aug 30, 1989"
Kyle Stewart,"6' 2""",170 lbs.,"76""",Orthodox,"Jan 31, 1989"
Kyle Sturgeon,"6' 3""",225 lbs.,NA,Switch,NA
Kyle Watson,"6' 0""",155 lbs.,NA,NA,"Aug 09, 1979"
Kyler Phillips,"5' 8""",135 lbs.,NA,Orthodox,"Jun 12, 1995"
Kyoji Horiguchi,"5' 5""",125 lbs.,"66""",Orthodox,"Oct 12, 1990"
Kyosuke Sasaki,"5' 7""",183 lbs.,NA,Southpaw,NA
Kyung Ho Kang,"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987"
LC Davis,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 28, 1980"
Lacey Schuckman,"5' 3""",125 lbs.,NA,NA,NA
Lance Benoist,"5' 11""",170 lbs.,"73""",Southpaw,"Aug 26, 1988"
Lance Gibson,"5' 9""",185 lbs.,NA,Orthodox,"Nov 20, 1970"
Lance Lawrence,"6' 0""",145 lbs.,NA,NA,"Jun 26, 1993"
Lando Vannata,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 14, 1992"
Landon Showalter,"6' 0""",185 lbs.,NA,NA,"Jun 14, 1976"
Larissa Pacheco,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 07, 1994"
Larry Cureton,"6' 2""",240 lbs.,NA,Orthodox,NA
Larry Parker,"5' 11""",205 lbs.,NA,Orthodox,NA
Laureano Staropoli,"6' 1""",170 lbs.,"71""",Orthodox,"Feb 27, 1993"
Lauren Mueller,"5' 5""",125 lbs.,"67""",Orthodox,"Nov 15, 1991"
Lauren Murphy,"5' 7""",125 lbs.,"67""",Orthodox,"Jul 27, 1983"
Lavar Johnson,"6' 4""",240 lbs.,"82""",Orthodox,"Jun 11, 1977"
Laverne Clark,"5' 11""",170 lbs.,NA,Orthodox,"Dec 02, 1973"
Lazar Stojadinovic,"5' 7""",145 lbs.,"68""",Southpaw,"Mar 22, 1989"
Leah Letson,"5' 7""",145 lbs.,"71""",NA,"Aug 21, 1992"
Leandro Issa,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 19, 1983"
Leandro Silva,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 11, 1985"
Lee Brousseau,"6' 1""",205 lbs.,NA,NA,"Oct 04, 1974"
Lee Gibson,"5' 7""",155 lbs.,NA,NA,NA
Lee Higgins,NA,155 lbs.,NA,NA,"Jul 14, 1980"
Lee Kwan Bum,"6' 2""",286 lbs.,NA,Orthodox,NA
Lee Murray,"6' 3""",185 lbs.,NA,Orthodox,"Sep 12, 1977"
Leigh Remedios,"5' 7""",155 lbs.,NA,Orthodox,"Jan 13, 1976"
Leiticia Pestova,"5' 6""",135 lbs.,NA,Orthodox,"Jan 15, 1984"
Lemont Davis,"5' 8""",170 lbs.,NA,Orthodox,NA
Len Bentley,"5' 9""",155 lbs.,NA,NA,"Nov 30, 1982"
Leo Kuntz,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 03, 1983"
Leo Sylvest,"5' 11""",205 lbs.,NA,Orthodox,"Sep 03, 1973"
Leon Edwards,"6' 0""",170 lbs.,"74""",Southpaw,"Aug 25, 1991"
Leon Shahbazyan,"6' 4""",170 lbs.,"77""",Orthodox,"Nov 18, 1995"
Leonard Garcia,"5' 10""",145 lbs.,"69""",Orthodox,"Jul 14, 1979"
Leonardo Augusto Leleco,"6' 0""",185 lbs.,"73""",Orthodox,"Apr 15, 1982"
Leonardo Mafra,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989"
Leonardo Morales,"5' 8""",135 lbs.,"68""",Southpaw,"Dec 22, 1992"
Leonardo Santos,"6' 0""",155 lbs.,"75""",Orthodox,"Feb 05, 1980"
Leonardo Silva,"6' 2""",185 lbs.,NA,Orthodox,"Apr 23, 1992"
Leslie Smith,"5' 9""",135 lbs.,"66""",Orthodox,"Aug 17, 1982"
Levan Makashvili,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 07, 1989"
Levi Alford,NA,NA,NA,NA,NA
Levi Avera,"6' 1""",170 lbs.,NA,NA,"May 17, 1982"
Lewis Gonzalez,"5' 10""",170 lbs.,"73""",Orthodox,"Sep 19, 1987"
Li Jingliang,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988"
Liam McGeary,"6' 6""",205 lbs.,NA,NA,"Oct 04, 1982"
Liana Jojua,"5' 4""",135 lbs.,NA,NA,"Mar 22, 1995"
Lina Kvokov,"5' 9""",135 lbs.,NA,Orthodox,NA
Lina Lansberg,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982"
Linton Vassell,"6' 4""",205 lbs.,NA,NA,"Jun 03, 1983"
Lionel Lanham,NA,205 lbs.,NA,NA,"Aug 31, 1980"
Lisa Ellis,"5' 4""",115 lbs.,"62""",NA,"Nov 15, 1982"
Lissette Neri,"5' 2""",145 lbs.,NA,NA,"Aug 05, 1987"
Liu Pingyuan,"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993"
Livinha Souza,"5' 5""",115 lbs.,"63""",Orthodox,"Mar 11, 1991"
Liz Carmouche,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984"
Lloyd Van Dams,"6' 1""",240 lbs.,NA,Southpaw,"Mar 05, 1972"
Lodune Sincaid,"5' 9""",185 lbs.,NA,Orthodox,"May 07, 1973"
Logan Clark,"6' 2""",185 lbs.,NA,Orthodox,"Feb 16, 1985"
Logan Nail,NA,185 lbs.,NA,NA,"Jun 20, 1989"
Lolohea Mahe,NA,NA,NA,NA,NA
Lorenz Larkin,"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986"
Lorenzo Hood,"6' 3""",265 lbs.,NA,NA,NA
Louis Gaudinot,"5' 3""",125 lbs.,"63""",Orthodox,"Aug 28, 1984"
Louis Jauregui,"5' 7""",170 lbs.,NA,NA,NA
Louis Smolka,"5' 9""",135 lbs.,"68""",Orthodox,"Jul 16, 1991"
Louis Taylor,"5' 11""",185 lbs.,"74""",Orthodox,"May 12, 1979"
Lowell Anderson,"5' 6""",160 lbs.,NA,Orthodox,NA
Luan Chagas,"6' 0""",170 lbs.,"75""",Orthodox,"Jun 17, 1993"
Luana Carolina,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 11, 1993"
Luc Bondole,"6' 2""",205 lbs.,NA,NA,NA
Lucas Gamaza,NA,170 lbs.,NA,NA,NA
Lucas Lopes,"6' 2""",185 lbs.,NA,NA,"Oct 05, 1979"
Lucas Martins,"6' 0""",145 lbs.,"72""",Southpaw,"Nov 11, 1988"
Lucas Stark,NA,155 lbs.,NA,NA,NA
